series;window type;glass option;model code;u-value;shgc;er;vt;report
300 Series;Sliding Window;3,180(2)-3,180(4)-3,i89(6);OASW-SS-3,180(2)-3,180(4)-3,i89(6)-6AR90SS;1.26;0.42;36;0.53;T636-64 (Issued October 26, 2020)
300 Series;Sliding Window;3,CL-3,180(3);OASW-SS-3,CL-3,180(3)-13AR90EN;1.66;0.53;34;0.62;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,180(2)-3,i89(4);OASW-SS-3,180(2)-3,i89(4)-13AR90EN;1.42;0.49;37;0.61;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;4,CL-4,180(3);OASW-SS-4,CL-4,180(3)-12AR90EN;1.69;0.52;33;0.61;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;4,180(2)-4,i89(4);OASW-SS-4,180(2)-4,i89(4)-12AR90EN;1.45;0.48;36;0.60;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;5,CL-5,180(3);OASW-SS-5,CL-5,180(3)-10AR90EN;1.75;0.51;31;0.53;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;5,180(2)-5,i89(4);OASW-SS-5,180(2)-5,i89(4)-10AR90EN;1.50;0.47;34;0.59;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;6,CL-6,180(3);OASW-SS-6,CL-6,180(3)-8AR90EN;1.86;0.50;28;0.60;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;6,180(2)-6,i89(4);OASW-SS-6,180(2)-6,i89(4)-8AR90EN;1.59;0.46;31;0.59;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,270(2)-3,CL;OASW-SS-3,270(2)-3,CL-13AR90EN;1.61;0.29;21;0.54;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,366(2)-3,CL;OASW-SS-3,366(2)-3,CL-13AR90EN;1.59;0.22;17;0.50;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,366(2)-3,i89(4);OASW-SS-3,366(2)-3,i89(4)-13AR90EN;1.37;0.22;22;0.49;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;4,270(2)-4,CL;OASW-SS-4,270(2)-4,CL-12AR90EN;1.63;0.29;21;0.54;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;4,366(2)-4,CL;OASW-SS-4,366(2)-4,CL-12AR90EN;1.60;0.22;17;0.50;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;4,366(2)-4,i89(4);OASW-SS-4,366(2)-4,i89(4)-12AR90EN;1.39;0.22;22;0.49;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;5,270(2)-5,CL;OASW-SS-5,270(2)-5,CL-10AR90EN;1.69;0.29;19;0.53;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;5,366(2)-5,CL;OASW-SS-5,366(2)-5,CL-10AR90EN;1.66;0.22;16;0.50;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;5,366(2)-5,i89(4);OASW-SS-5,366(2)-5,i89(4)-10AR90EN;1.44;0.22;21;0.49;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;6,270(2)-6,CL;OASW-SS-6,270(2)-6,CL-8AR90EN;1.81;0.29;17;0.53;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;6,366(2)-6,CL;OASW-SS-6,366(2)-6,CL-8AR90EN;1.78;0.22;13;0.49;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;6,366(2)-6,i89(4);OASW-SS-6,366(2)-6,i89(4)-8AR90EN;1.53;0.22;19;0.48;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,180(2)-3,CL-3,180(5);OASW-SS-3,180(2)-3,CL-3,180(5)-7AR90EN;1.42;0.44;34;0.54;T636-63 (Issued July 15, 2020)
300 Series;Sliding Window;3,366(2)-3,180(4)-3,i89(6);OASW-SS-3,366(2)-3,180(4)-3,i89(6)-7AR90EN;1.25;0.19;23;0.44;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,180(2)-3,180(4)-3,i89(6);OASW-SH-3,180(2)-3,180(4)-3,i89(6)-6AR90SS;1.26;0.42;36;0.53;T636-64 (Issued October 26, 2020)
300 Series;Vertical Sliding Window;3,CL-3,180(3);OASW-SH-3,CL-3,180(3)-13AR90EN;1.66;0.53;34;0.62;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,180(2)-3,i89(4);OASW-SH-3,180(2)-3,i89(4)-13AR90EN;1.42;0.49;37;0.61;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;4,CL-4,180(3);OASW-SH-4,CL-4,180(3)-12AR90EN;1.69;0.52;33;0.61;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;4,180(2)-4,i89(4);OASW-SH-4,180(2)-4,i89(4)-12AR90EN;1.45;0.48;35;0.60;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;5,CL-5,180(3);OASW-SH-5,CL-5,180(3)-10AR90EN;1.75;0.51;31;0.53;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;5,180(2)-5,i89(4);OASW-SH-5,180(2)-5,i89(4)-10AR90EN;1.50;0.47;34;0.59;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;6,CL-6,180(3);OASW-SH-6,CL-6,180(3)-8AR90EN;1.86;0.50;28;0.60;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;6,180(2)-6,i89(4);OASW-SH-6,180(2)-6,i89(4)-8AR90EN;1.58;0.45;31;0.59;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,270-3,CL;OASW-SH-3,270-3,CL-13AR90EN;1.61;0.29;21;0.54;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,366(2)-3,CL;OASW-SH-3,366(2)-3,CL-13AR90EN;1.59;0.22;17;0.50;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,366(2)-3,i89(4);OASW-SH-3,366(2)-3,i89(4)-13AR90EN;1.37;0.22;22;0.49;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;4,270(2)-4,CL;OASW-SH-4,270(2)-4,CL-12AR90EN;1.63;0.29;21;0.54;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;4,366(2)-4,CL;OASW-SH-4,366(2)-4,CL-12AR90EN;1.60;0.22;17;0.50;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;4,366(2)-4,i89(4);OASW-SH-4,366(2)-4,i89(4)-12AR90EN;1.38;0.22;22;0.49;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;5,270(2)-5,CL;OASW-SH-5,270(2)-5,CL-10AR90EN;1.69;0.29;19;0.53;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;5,366(2)-5,CL;OASW-SH-5,366(2)-5,CL-10AR90EN;1.66;0.22;16;0.50;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;5,366(2)-5,i89(4);OASW-SH-5,366(2)-5,i89(4)-10AR90EN;1.44;0.22;21;0.49;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;6,270(2)-6,CL;OASW-SH-6,270(2)-6,CL-8AR90EN;1.81;0.29;17;0.53;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;6,366(2)-6,CL;OASW-SH-6,366(2)-6,CL-8AR90EN;1.78;0.22;13;0.49;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;6,366(2)-6,i89(4);OASW-SH-6,366(2)-6,i89(4)-8AR90EN;1.53;0.22;19;0.48;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,180(2)-3,CL-180(5);OASW-SH-3,180(2)-3,CL-180(5)-7AR90EN;1.42;0.44;34;0.54;T636-63 (Issued July 15, 2020)
300 Series;Vertical Sliding Window;3,366(2)-3,180(4)-3,i89(6);OASW-SH-3,366(2)-3,180(4)-3,i89(6)-7AR90EN;1.24;0.19;23;0.44;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;3,180(2)-3,180(4)-3,i89(6);OASW-PC-3,180(2)-3,180(4)-3,i89(6)-6AR90SS;1.15;0.44;40;0.56;T636-64 (Issued October 26, 2020)
300 Series;Picture Window;3,CL-3,180(3);OASW-PC-3,CL-3,180(3)-13AR90EN;1.57;0.56;38;0.64;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;3,180(2)-3,i89(4);OASW-PC-3,180(2)-3,i89(4)-13AR90EN;1.31;0.52;41;0.63;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;4,CL-4,180(3);OASW-PC-4,CL-4,180(3)-12AR90EN;1.58;0.55;37;0.64;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;4,180(2)-4,i89(4);OASW-PC-4,180(2)-4,i89(4)-12AR90EN;1.34;0.50;40;0.63;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;5,CL-5,180(3);OASW-PC-5,CL-5,180(3)-10AR90EN;1.59;0.30;23;0.56;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;5,180(2)-5,i89(4);OASW-PC-5,180(2)-5,i89(4)-10AR90EN;1.38;0.49;38;0.62;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;6,CL-6,180(3);OASW-PC-6,CL-6,180(3)-8AR90EN;1.76;0.52;31;0.63;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;6,180(2)-6,i89(4);OASW-PC-6,180(2)-6,i89(4)-8AR90EN;1.76;0.48;36;0.61;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;3,270-3,CL;OASW-PC-3,270-3,CL-13AR90EN;1.52;0.31;25;0.57;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;3,366(2)-3,CL;OASW-PC-3,366(2)-3,CL-13AR90EN;1.49;0.23;21;0.53;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;3,366(2)-3,i89(4);OASW-PC-3,366(2)-3,i89(4)-13AR90EN;1.26;0.23;26;0.52;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;4,270(2)-4,CL;OASW-PC-4,270(2)-4,CL-12AR90EN;1.52;0.30;24;0.56;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;4,366(2)-4,CL;OASW-PC-4,366(2)-4,CL-12AR90EN;1.50;0.23;20;0.52;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;4,366(2)-4,i89(4);OASW-PC-4,366(2)-4,i89(4)-12AR90EN;1.27;0.23;25;0.51;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;5,270(2)-5,CL;OASW-PC-5,270(2)-5,CL-10AR90EN;1.58;0.30;23;0.56;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;5,366(2)-5,CL;OASW-PC-5,366(2)-5,CL-10AR90EN;1.55;0.23;19;0.52;T636-63 (Issued July 15, 2020)
300 Series;Picture Window;5,366(2)-5,i89(4);OASW-PC-5,366(2)-5,i89(4)-10AR90EN;1.32;0.23;24;0.51;T636-63 (Issued July 15, 2020)
